죄종별(1),죄종별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
죄종별(1),죄종별(2),20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여
강력범죄,소계,3898,5089,5065,5195,3531,1191,446,236,143,129,190,156,39,21,3522,4990,4788,5278,3755,1282,539,183,108,149,214,173,36,12,3190,5112,5022,5317,4104,1482,627,197,146,164,221,155,34,27,3289,5394,5094,5400,4455,1663,778,172,172,167,230,155,47,22,3215,6189,5341,5507,4770,2004,814,190,190,215,212,191,62,17,3126,6091,4922,5252,4817,2024,854,205,238,184,262,204,66,27
강력범죄,살인기수,10,47,52,75,69,31,16,2,13,13,24,14,6,3,14,37,68,100,65,40,18,16,13,19,27,16,10,4,6,41,54,85,72,21,21,6,11,21,21,15,7,8,7,32,59,87,75,20,17,4,17,16,21,14,7,3,13,28,48,65,69,35,14,7,13,22,12,13,3,2,5,40,57,71,60,31,19,8,8,16,15,10,5,5
강력범죄,살인미수등,21,70,91,173,149,36,19,5,13,11,15,8,4,5,18,48,93,168,132,41,11,3,2,18,22,16,2,-,14,64,88,143,153,34,21,-,11,15,25,12,3,2,20,56,102,167,137,58,15,3,14,14,10,12,4,4,16,79,76,119,139,50,19,1,11,9,18,14,5,5,9,52,71,99,125,59,20,7,16,6,26,14,9,3
강력범죄,강도,663,575,537,378,155,33,10,114,29,34,24,29,8,1,460,485,436,304,154,42,10,74,23,22,22,30,5,1,485,396,418,271,174,32,6,115,19,17,36,17,4,5,391,340,359,251,152,40,9,62,20,21,28,18,6,3,270,306,309,233,149,37,10,62,16,24,17,14,7,1,263,228,186,188,123,33,6,56,19,20,14,15,5,2
강력범죄,강간,1196,1538,1243,932,597,191,61,26,7,6,19,24,6,3,1167,1497,1106,890,555,152,63,28,7,9,11,15,1,-,1048,1526,1222,906,607,181,63,14,11,8,15,6,1,2,1039,1665,1218,927,620,197,91,24,14,10,9,5,4,1,1039,1810,1229,894,617,213,65,25,8,16,8,11,4,-,1042,1757,1132,902,665,258,96,30,15,15,14,10,3,2
강력범죄,유사강간,29,27,25,27,19,6,2,-,1,-,-,-,-,-,92,88,66,64,44,22,6,4,1,1,1,-,-,-,127,106,95,101,64,22,11,2,-,2,3,2,-,-,119,158,87,107,81,30,8,-,2,1,1,2,1,-,166,168,109,112,77,38,10,3,4,4,2,-,1,-,166,249,127,125,102,37,20,10,6,2,2,-,1,-
강력범죄,강제추행,1191,2289,2613,2994,2101,776,294,60,51,35,40,34,5,5,1294,2458,2615,3191,2351,860,378,37,42,42,69,48,7,-,1223,2734,2852,3311,2588,1063,454,40,59,55,55,41,3,4,1411,2955,3036,3475,2989,1194,589,63,75,63,93,44,15,5,1473,3609,3379,3754,3384,1526,655,71,111,101,97,83,22,2,1411,3573,3122,3518,3313,1471,645,77,144,91,125,92,25,8
강력범죄,기타 강간·강제추행등,624,434,328,239,147,53,17,20,1,2,7,10,2,1,307,261,225,174,132,46,25,7,4,3,2,4,-,2,165,145,123,93,80,37,13,9,7,6,2,3,2,-,135,113,77,80,71,24,12,5,-,2,-,-,-,-,117,88,54,34,38,19,12,5,2,1,1,-,-,-,103,93,85,75,59,27,7,2,1,1,2,2,1,-
강력범죄,방화,164,109,176,377,294,65,27,9,28,28,61,37,8,3,170,116,179,387,322,79,28,14,16,35,60,44,11,5,122,100,170,407,366,92,38,11,28,40,64,59,14,6,167,75,156,306,330,100,37,11,30,40,68,60,10,6,121,101,137,296,297,86,29,16,25,38,57,56,20,7,127,99,142,274,370,108,41,15,29,33,64,61,17,7
폭력범죄,소계,26812,53891,66459,84049,61096,15716,4482,7296,9871,9778,13854,11833,3308,1211,25969,50494,62181,79095,63149,17113,5225,5878,9180,9474,13245,11993,3571,1386,27265,51135,62382,80555,66480,19243,6177,6177,10254,10555,13927,12538,3954,1716,27810,52139,62969,78944,68408,22051,6761,6650,11065,11332,13744,12629,4296,1817,28090,52025,57866,71332,64129,22886,6815,7235,11437,10664,12654,11882,4362,1833,26245,47443,53292,66511,63783,24563,7642,7025,10753,10649,12039,11692,4859,2014
폭력범죄,상해,3768,9945,13497,17731,13551,3892,1237,643,1554,2038,3084,2933,944,370,3740,8702,11480,14842,12515,3701,1311,601,1363,1790,2786,2734,877,433,3807,7879,10304,13412,11486,3644,1412,651,1337,1685,2457,2584,933,453,4349,8598,10624,13868,12595,4092,1423,759,1356,1726,2404,2507,931,451,4252,8018,9243,11975,10811,3931,1331,740,1337,1552,2171,2199,892,383,3761,6758,7988,10213,10278,3981,1386,703,1250,1404,1759,1987,928,436
폭력범죄,폭행,7714,21452,30760,40650,30660,7808,2028,2102,4440,4635,6665,5398,1387,492,8214,21891,30320,40231,33115,8965,2449,1998,4440,4946,6566,5716,1606,540,10106,24550,32477,43307,36697,10662,3116,2521,5653,6132,7632,6569,1936,753,11970,28301,36337,46310,40676,13194,3830,3180,6945,7230,8287,7195,2332,884,12379,29271,34006,42375,39101,13839,3893,3437,7449,6771,7706,6886,2497,1003,11560,27238,31629,40437,38588,14936,4402,3399,7059,7019,7514,6891,2806,1086
폭력범죄,체포·감금,41,134,208,274,172,53,13,3,23,44,43,58,13,4,36,150,193,230,207,51,16,5,24,34,63,73,24,5,60,158,233,245,222,56,20,18,25,36,58,65,21,6,132,292,331,316,224,86,19,43,28,39,67,69,20,9,149,342,325,388,259,94,16,53,43,53,71,85,16,7,171,273,265,274,233,78,24,43,33,42,54,75,29,3
폭력범죄,협박,140,359,794,1304,1026,285,74,35,65,144,204,175,49,10,168,389,864,1418,1204,315,81,38,73,131,191,206,45,14,273,735,1537,2571,2153,620,161,54,109,219,366,269,79,24,557,1785,2942,4482,3845,1169,319,96,192,379,500,378,112,31,617,1705,2833,4258,3694,1358,314,134,218,399,476,411,118,45,684,1802,2980,4184,4382,1585,461,180,323,409,602,470,158,53
폭력범죄,약취·유인,23,31,52,41,23,6,3,5,9,27,15,13,9,3,20,33,44,36,30,14,6,7,12,27,10,8,3,1,21,30,44,36,29,8,4,9,20,18,15,13,4,1,20,56,42,45,32,13,4,10,19,28,16,8,11,1,36,34,44,35,29,19,4,6,11,25,13,13,12,2,19,33,43,20,33,22,4,6,10,28,21,13,6,2
폭력범죄,폭력행위등,12901,18031,14951,15735,10004,2154,563,4195,3373,2216,2662,2256,582,187,11768,15298,13175,13984,9850,2327,618,3012,2752,1844,2405,2145,644,207,10815,13524,11741,12839,9339,2305,644,2715,2571,1677,2087,1843,600,235,8241,8426,6115,5128,3683,1071,255,2289,1894,1045,1081,1122,414,138,8008,7708,5128,4124,2943,860,217,2582,1684,954,967,937,353,116,7307,6452,4248,3498,2533,894,197,2396,1368,790,792,882,351,113
폭력범죄,공갈,1025,270,438,501,363,100,23,169,29,60,85,84,30,5,780,343,578,722,596,147,23,93,48,80,108,104,33,6,690,305,425,494,448,115,30,68,44,66,110,92,29,9,898,407,524,610,551,138,41,84,63,68,100,87,38,14,1088,380,483,510,432,163,37,81,89,86,89,87,33,11,1176,339,403,463,422,150,38,101,54,89,112,121,33,10
폭력범죄,손괴,1200,3669,5759,7813,5297,1418,541,144,378,614,1096,916,294,140,1243,3688,5527,7632,5632,1593,721,124,468,622,1116,1007,339,180,1493,3954,5621,7651,6106,1833,790,141,495,722,1202,1103,352,235,1643,4274,6054,8185,6802,2288,870,189,568,817,1289,1263,438,289,1561,4567,5804,7667,6860,2622,1003,202,606,824,1161,1264,441,266,1567,4548,5736,7422,7314,2917,1130,197,656,868,1185,1253,548,311
지능범죄,소계,13611,29543,50521,71487,54953,14712,3868,3885,8833,12906,18098,15757,4313,1090,13039,26000,44734,66444,54455,15139,4184,3680,7486,11565,17013,15785,4577,1193,15429,29742,43626,63999,55656,16026,4349,4329,9018,12091,16983,16184,5018,1239,14788,30020,41241,60282,54938,17349,4549,3878,8074,11640,15882,16545,5551,1397,12923,29962,37046,55020,51821,17705,4571,3623,7521,10684,14642,15784,5821,1427,14307,33430,37743,56172,55703,20933,5491,3541,8551,12031,16867,17581,7249,1777
지능범죄,직무유기,1,26,137,240,235,25,5,-,13,31,35,20,3,1,1,14,119,203,218,14,5,1,16,39,32,14,4,-,1,14,136,221,297,28,6,-,21,31,32,14,1,-,3,15,115,160,197,16,6,2,3,38,40,15,-,2,3,23,96,169,196,18,5,-,10,30,44,23,1,1,1,25,107,160,186,21,5,-,19,42,63,24,3,-
지능범죄,직권남용,-,23,99,186,131,13,1,-,4,14,15,10,-,1,-,27,117,198,144,9,-,-,6,11,11,7,-,-,-,37,109,177,148,13,4,1,6,22,20,14,2,-,-,44,129,172,135,15,-,-,6,16,14,12,5,1,-,51,110,182,200,33,5,-,4,15,29,22,5,1,-,64,131,185,244,40,6,-,9,18,50,30,2,-
지능범죄,증수뢰,-,2,87,279,355,81,6,-,-,3,27,13,2,-,-,6,94,298,326,62,12,-,-,7,14,20,3,-,-,13,104,273,297,67,17,-,3,10,23,22,13,-,-,9,61,266,310,76,7,-,-,8,23,19,7,1,-,5,74,343,462,121,18,-,2,18,31,32,19,3,-,9,95,269,401,132,27,-,20,36,82,36,19,4
지능범죄,통화,30,34,16,309,18,5,-,5,5,9,1,2,-,-,16,17,14,240,16,14,4,-,2,1,4,3,2,1,39,27,12,157,22,13,2,2,5,3,2,1,1,-,38,29,7,43,86,3,1,4,7,-,-,1,1,-,22,34,13,362,61,14,2,4,4,2,1,5,4,1,9,13,5,108,96,3,1,7,3,3,2,3,1,1
지능범죄,문서·인장,1515,1365,2764,3847,3326,1269,497,852,571,1059,1523,1164,429,168,1331,1328,2698,3598,3403,1342,521,702,548,855,1326,1145,385,153,1470,1432,2322,3500,3409,1322,533,689,473,825,1250,1107,431,191,1521,1307,2222,3066,3230,1249,550,814,480,750,1146,1058,391,131,1209,1113,1785,2656,3001,1338,547,746,388,640,1002,923,336,146,1091,1061,1625,2483,2960,1471,630,650,364,558,1001,1009,459,138
지능범죄,유가증권인지,1,7,31,154,200,63,11,-,3,7,28,29,10,3,1,3,37,168,185,65,23,1,3,7,15,31,11,-,12,11,38,84,140,47,15,5,4,4,8,19,10,2,3,5,27,89,128,52,14,-,4,2,20,21,7,1,1,2,31,78,110,51,9,3,1,4,8,21,10,1,12,8,26,58,81,45,18,1,4,7,11,14,10,-
지능범죄,사기,10395,25442,41259,56490,42206,10250,2163,2537,7487,10215,14124,12545,3198,719,10252,22178,35480,51629,41555,10594,2385,2523,6194,9054,13276,12480,3406,773,12215,25508,34623,49543,41734,11015,2411,3148,7664,9685,13126,12641,3673,767,11601,25619,32974,47315,41652,12078,2418,2546,6733,9301,12394,13063,4078,840,10231,25879,29683,42658,38968,12241,2344,2312,6262,8636,11428,12387,4275,841,11813,29553,30575,44370,42430,14675,2873,2343,7291,9828,13369,13874,5340,1048
지능범죄,횡령,1665,2467,5120,7849,6280,2092,799,489,687,1320,1829,1492,450,148,1433,2217,4901,7617,6192,2101,856,452,643,1365,1844,1577,527,192,1685,2534,5383,8008,7293,2554,988,475,765,1336,2108,1874,677,222,1603,2845,4944,7397,7129,2876,1178,506,777,1314,1877,1879,827,362,1452,2724,4442,6693,6549,2923,1269,554,789,1141,1784,1894,944,369,1376,2554,4333,6659,7086,3494,1429,536,768,1322,1920,2080,1140,501
지능범죄,배임,4,177,1008,2133,2202,914,386,2,63,248,516,482,221,50,5,210,1274,2493,2416,938,378,1,74,226,491,508,239,74,7,166,899,2036,2316,967,373,9,77,175,414,492,210,57,19,147,762,1774,2071,984,375,6,64,211,368,477,235,59,5,131,812,1879,2274,966,372,4,61,198,315,477,227,64,5,143,846,1880,2219,1052,502,4,73,217,369,511,275,85
풍속범죄,소계,1697,7950,9109,10113,9220,2237,309,126,688,1110,2021,2510,791,118,1400,5590,7489,8970,8685,2188,355,75,598,1064,1770,2452,883,153,1562,5845,6917,8288,8965,2478,442,86,373,585,1339,2830,1123,223,2237,8816,9925,8066,8043,2346,431,117,387,464,981,2193,948,170,2077,5961,6763,6176,7190,2609,478,121,292,340,682,1928,929,221,2129,5495,5625,5120,6601,2650,484,138,249,303,544,1584,996,250
풍속범죄,성풍속범죄,1618,6108,4576,2409,1221,285,54,106,455,734,759,300,42,6,1257,3517,3332,2117,1142,284,52,58,408,759,705,257,41,1,1342,3478,3069,1758,923,299,73,73,191,288,235,130,28,4,1714,3287,2693,1629,1010,284,88,104,144,87,76,63,17,3,1870,3411,2848,1751,1087,385,142,112,173,96,77,55,21,5,1977,3872,2885,1710,1092,410,152,124,170,129,100,62,14,5
풍속범죄,도박,79,1842,4533,7704,7999,1952,255,20,233,376,1262,2210,749,112,143,2073,4157,6853,7543,1904,303,17,190,305,1065,2195,842,152,220,2367,3848,6530,8042,2179,369,13,182,297,1104,2700,1095,219,523,5529,7232,6437,7033,2062,343,13,243,377,905,2130,931,167,207,2550,3915,4425,6103,2224,336,9,119,244,605,1873,908,216,152,1623,2740,3410,5509,2240,332,14,79,174,444,1522,982,245
